order_id,buyer_id,transaction_status,buyer_confirmation,seller_confirmation,transaction_rate,transaction_content,place_order_datetime
bd148bf7-be2f-44fa-ac05-cbd4bbf04879,b82982114,Underway,Unfinished,Finished,0,,2023-08-31 20:10:00
48f0048e-10de-4ef9-82a8-319457a0bcec,b82982114,Complete,Finish,Finish,2,nothing particularly impressive,2023-07-07 14:50:00
aa72dd35-85bc-494c-8719-0caa2239bb53,b84865982,Complete,Finish,Finish,2,Not bad,2022-03-18 18:34:00
0f6feefd-6fa7-4aee-9cc7-64a9bd167016,b82982114,Underway,Finished,Unfinished,0,,2023-05-09 11:40:00
0dd984ac-7513-4ac7-96b8-928a29d78244,b81402685,Underway,Finished,Unfinished,0,,2023-03-17 07:01:00
41d94c90-661f-4a61-bbe1-9d1bc18149f1,b84865982,Underway,Finished,Unfinished,0,,2023-12-25 21:54:00
0b1fae38-3045-4f41-a1cc-b56be3345c70,b94795771,Underway,Finished,Unfinished,0,,2023-02-21 00:30:00
88507112-6eb0-4649-a49a-064876f23b61,b81795472,Complete,Finish,Finish,2,nothing particularly impressive,2022-12-09 04:15:00
788b1a1c-ee8f-4653-9f1f-7ac2fde89550,b81402685,Complete,Finish,Finish,2,Good,2023-08-07 21:30:00
46691688-e792-4889-8cd1-04bb203bbc13,b72176783,Complete,Finish,Finish,1,"Affordable prices, great value for money.",2023-02-16 12:45:00
d3d408eb-bc2f-49b3-9663-e5958287a83e,b81795472,Complete,Finish,Finish,1,,2023-04-29 07:10:00
edf07d74-0aa2-482c-b2f6-43a9404ce4a4,b81795472,Complete,Finish,Finish,2,The website is user-friendly and easy to navigate.,2023-08-07 08:24:00
2a6a5809-8c1a-4304-a6ed-a9055c657861,b50809533,Cancel,Unfinished,Unfinished,0,Confirmation takes too long,2022-01-01 20:30:00
255d1f64-70e2-47e2-bc61-b2cf094799b5,b74101441,Complete,Finish,Finish,2,"Affordable prices, great value for money.",2022-09-08 22:12:00
f5a3541d-7457-45b8-900b-c6e78ab1cdb0,b50809533,Underway,Finished,Unfinished,0,,2022-11-11 00:18:00
3c12e54b-bc3f-4bd9-b80a-e6147a026352,b94795771,Underway,Unfinished,Finished,0,,2023-12-25 05:32:00
34928047-22e8-4c4c-b03d-dca2a2a54828,b02658750,Complete,Finish,Finish,0,,2023-02-08 03:16:00
53ef6511-26ff-417d-b697-f2a8a0ea8fa6,b89766969,Underway,Unfinished,Finished,0,,2022-05-19 19:44:00
c7cbb404-7531-4ebe-8387-426d45fdeb5d,b89766969,Underway,Unfinished,Finished,0,,2022-11-02 14:58:00
290b1573-6c58-42dd-bfa1-79c61d24119b,b09294091,Complete,Finish,Finish,0,Not bad,2022-01-09 07:45:00
92b83a61-fbae-4b7f-b640-57f4bd4ee7b9,b09294091,Underway,Unfinished,Unfinished,0,,2022-05-04 12:06:00
4774d3f8-281f-4c4f-9f1d-218a0e2e88ca,b72176783,Complete,Finish,Finish,0,nothing particularly impressive,2022-10-28 18:11:00
dd076375-fe4d-4362-8fea-79c0052d29ee,b89766969,Underway,Unfinished,Finished,0,,2023-06-12 09:27:00
bd51ed69-68e4-4377-b422-7b3f70596d8c,b94795771,Complete,Finish,Finish,2,defective product,2022-12-04 11:31:00
c4e7b20e-651a-4330-9e4c-6f96d740b25a,b81402685,Underway,Finished,Unfinished,0,,2022-03-18 10:54:00
0f80af6c-3b71-4690-83d8-14256e38560a,b84865982,Complete,Finish,Finish,1,defective product,2022-10-14 20:58:00
49193b7d-698e-4490-b8c3-ee36fb531077,b94795771,Underway,Unfinished,Finished,0,,2022-07-07 03:15:00
b79c6708-03a2-466f-8b39-b3fd57f37f78,b81795472,Complete,Finish,Finish,0,functional,2023-12-09 15:01:00
af4d2bc0-ea88-40e7-8d9e-1ef6f7241594,b81795472,Complete,Finish,Finish,1,Not bad,2023-07-28 12:23:00
b3656a89-6398-4a32-8fe0-5795a9a23b03,b50809533,Underway,Unfinished,Unfinished,0,,2022-07-04 16:35:00
d4234ebc-9929-4960-8753-61ca1ddf6d3c,b82982114,Complete,Finish,Finish,1,"Product doesn't match the description, false advertising.",2022-03-18 20:02:00
215350f3-89f0-48d3-b70b-5038fd2478e0,b74101441,Complete,Finish,Finish,2,"Affordable prices, great value for money.",2023-12-08 20:43:00
14aea58e-414e-4983-8475-62097e85ed0f,b82982114,Complete,Finish,Finish,1,The website is user-friendly and easy to navigate.,2022-11-24 01:49:00
e7e28ceb-bdc6-4fe3-87d9-beb0018a98f0,b68312213,Underway,Unfinished,Unfinished,0,,2022-05-01 05:43:00
161d6a6f-6e69-4f87-8b48-c03f10ab675a,b72176783,Complete,Finish,Finish,1,no major issues,2022-06-26 09:47:00
794d715a-be0d-4720-b39b-7166a9547fe6,b65923036,Complete,Finish,Finish,2,no major issues,2022-07-11 19:04:00
c8e6c63a-ee36-46de-88c7-1b837c2b8492,b68312213,Complete,Finish,Finish,0,functional,2022-08-19 06:30:00
01defd3f-cf70-41b6-88ba-47476e3a3e66,b94795771,Underway,Unfinished,Finished,0,,2023-01-07 05:43:00
f54eb5f8-ec3c-4b77-955f-1753d0660b32,b94795771,Complete,Finish,Finish,2,,2023-07-26 13:03:00
e8180572-5ec0-4cb0-9ab0-ede506b34976,b68312213,Cancel,Finished,Unfinished,0,selecting the wrong product,2022-03-21 09:47:00
732dbd7a-b13a-498a-a74e-673ec0bf8b86,b65923036,Complete,Finish,Finish,0,Useful,2022-09-06 20:53:00
08a14959-3479-4b1b-a8ea-1bbe7879a704,b09294091,Complete,Finish,Finish,1,Good quality,2022-05-19 21:46:00
dd6ba14f-88e7-4d5c-8f08-ac8b2e6ef58d,b72176783,Underway,Unfinished,Finished,0,,2022-10-22 13:43:00
991a4555-3a1e-4e6b-b757-83df3d17ee5e,b84865982,Complete,Finish,Finish,1,poor quality,2022-01-09 06:19:00
d8247706-4b38-40d6-a06e-d1996db43021,b93516525,Complete,Finish,Finish,1,nothing particularly impressive,2022-03-08 13:43:00
7edba295-94b7-42e8-8cc8-d7db70b39b37,b82982114,Cancel,Finished,Unfinished,0,nothing particularly impressive,2023-10-08 07:01:00
9bfde5cf-cd23-4e87-b557-de940b7fc308,b84865982,Underway,Unfinished,Unfinished,0,,2023-01-21 14:25:00
8ad138a6-d58d-4300-820b-ccf5269eb795,b94795771,Underway,Unfinished,Finished,0,,2022-01-05 16:48:00
e3c2d15b-c6dd-487f-9d3c-d9cc58c84a7e,b69410286,Underway,Finished,Unfinished,0,,2023-06-28 15:43:00
02437e46-7e07-441a-9749-6137d781ab61,b72176783,Complete,Finish,Finish,2,Good,2023-09-10 21:07:00
897c4ac0-8c70-4f64-b211-6f13117adc9a,b68312213,Complete,Finish,Finish,2,no major issues,2023-03-13 21:01:00
a658be57-64e3-479f-9bb9-004032da66e1,b82982114,Complete,Finish,Finish,0,no major issues,2023-09-23 09:02:00
263d4364-8c4f-4084-b79b-5be5432bb645,b69410286,Complete,Finish,Finish,0,poor quality,2023-03-29 00:34:00
97f21588-9b42-470e-9e63-e0ef67235dc7,b02658750,Complete,Finish,Finish,1,Can use,2023-05-15 00:55:00
0adf6c13-2bad-4f8c-ac7b-22c5eb3226ef,b50809533,Underway,Unfinished,Finished,0,,2023-01-06 15:55:00
49d2fb92-76c7-4caf-a080-b5b88cad9def,b81402685,Complete,Finish,Finish,2,"Affordable prices, great value for money",2022-11-01 17:28:00
51587eba-ed4c-43dc-ab33-ff6e4fcaffc1,b72176783,Complete,Finish,Finish,1,"Affordable prices, great value for money",2022-09-28 20:47:00
ab220aef-b0a6-42ab-bbe3-2d6531667171,b93516525,Complete,Finish,Finish,0,poor quality,2023-03-23 18:22:00
1ff61065-cd2d-455c-bc0f-cf1915f18d19,b89766969,Complete,Finish,Finish,2,"Affordable prices, great value for money",2023-12-30 09:50:00
fcfa276e-a9c3-43b7-8eb6-914e9995792b,b02658750,Complete,Finish,Finish,2,,2023-10-23 06:30:00
08e6f981-2a1b-44ae-98d1-2299c30db859,b84865982,Complete,Finish,Finish,0,,2023-12-16 00:59:00
132505a9-e92b-4ec5-8b49-db9ceea925ff,b65923036,Underway,Unfinished,Finished,0,,2023-06-09 07:02:00
c2e09a53-b7cc-431d-9bf7-0d1e6b9dd407,b81402685,Complete,Finish,Finish,0,,2023-09-01 18:01:00
b32c6d0a-a4b9-4717-9b6c-7cc86314cb1e,b68312213,Complete,Finish,Finish,1,"Product doesn't match the description, false advertising.",2023-05-15 23:42:00
e2bf279a-18e5-48c3-be21-ddd8050e8364,b82982114,Complete,Finish,Finish,2,"Product doesn't match the description, false advertising.",2023-07-01 06:50:00
7765e96c-54cd-4b98-b9f9-a3726af09fd6,b94795771,Underway,Finished,Unfinished,0,,2022-01-16 05:53:00
17c98f42-412e-4674-8443-68da26e36dd9,b09294091,Complete,Finish,Finish,1,,2022-08-08 08:51:00
8eb7923a-adf4-4b5c-a331-11aea94300cf,b82982114,Underway,Finished,Unfinished,0,,2022-02-06 23:40:00
055d5bcb-54d1-47e2-b435-b2819c76e874,b81795472,Complete,Finish,Finish,1,,2023-04-15 22:08:00
4fc817d2-e36b-4767-a4fa-1c9f5ebe3c9e,b93516525,Underway,Unfinished,Unfinished,0,,2022-07-11 09:21:00
eb2bf27b-32c8-4180-a694-d79192567df7,b69410286,Complete,Finish,Finish,1,"Affordable prices, great value for money.",2023-12-10 08:34:00
795e64d5-faac-4347-b2db-a4831d1e30aa,b50809533,Complete,Finish,Finish,1,"Affordable prices, great value for money.",2022-07-08 16:32:00
246a9609-fbf7-4f02-be1c-258ec19c7aca,b93516525,Underway,Unfinished,Finished,0,,2022-10-14 19:25:00
867a14a3-abe4-41cf-8891-d547685848fb,b65923036,Complete,Finish,Finish,1,The product quality is excellent and matches the description.,2022-06-01 04:42:00
440b5e94-b2a9-42ae-a639-bff513afcec6,b74101441,Cancel,Unfinished,Unfinished,0,Change my mind,2022-06-13 01:36:00
8e49998a-b5e8-49e3-8571-8192214976e0,b94795771,Complete,Finish,Finish,1,functional,2022-06-06 08:22:00
b9865451-033d-4088-a47f-ae0468061e5c,b89766969,Complete,Finish,Finish,1,functional,2023-05-05 00:23:00
13286c96-c284-424d-8ff7-f3a8cc3e2701,b69410286,Cancel,Unfinished,Finished,0,Confirmation takes too long,2023-09-25 20:21:00
cd41855e-9b93-45d8-b109-3ca356269f5a,b81795472,Cancel,Unfinished,Unfinished,0,Change my mind,2023-09-11 07:20:00
2addadff-2b3d-4350-9a70-0cc380a83731,b69410286,Cancel,Unfinished,Unfinished,0,Change my mind,2022-08-09 04:21:00
ab53683a-d100-4a4d-8aa5-1cf618abf4c2,b72176783,Complete,Finish,Finish,0,,2023-07-16 00:20:00
de89d1c5-42eb-478c-a7b0-a8e5f8e04b46,b94795771,Complete,Finish,Finish,0,The product quality is excellent and matches the description.,2022-06-16 14:12:00
f7bf8469-672c-49ad-89e0-ec5b58567152,b09294091,Underway,Finished,Unfinished,0,,2023-01-11 03:40:00
76e3a999-a704-486e-bdee-624b34b4e0a0,b82982114,Underway,Unfinished,Finished,0,,2023-04-14 14:26:00
37f05596-c773-4d4e-af8d-c039a74efba7,b02658750,Cancel,Finished,Unfinished,0,Confirmation takes too long,2022-12-20 00:48:00
ff6bbd76-0004-48f8-9d79-2a5b554ed19c,b66473901,Underway,Unfinished,Unfinished,0,,2023-09-20 09:08:11
8e4c521a-af34-4b7b-977c-5a974f0ba73d,b06256649,Underway,Unfinished,Unfinished,0,,2023-01-31 14:12:16
a961942c-4ce4-40b0-8c79-e8015a809113,b87248408,Underway,Unfinished,Unfinished,0,,2023-07-09 08:14:50
03f77cca-ff08-4267-891a-de1df8405789,b65923036,Cancel,Finish,Unfinished,0,,2023-02-12 14:30:04
bf8b1fd7-17bc-4d1a-9226-7c002303c495,b40804685,Complete,Finish,Finish,1,"Product doesn't match the description, false advertising.",2023-11-17 07:42:21
10986977-faf4-41e2-ad12-6f522294738c,b43124711,Complete,Finish,Finish,3,"Affordable prices, great value for money",2023-05-07 04:55:24
b1d3dfff-d149-4eab-8eb9-63f9e61009bc,b56700729,Underway,Finish,Unfinished,0,,2023-06-13 13:10:42
7adece52-b36b-4c55-8fea-2263978d9e35,b14112506,Cancel,Finish,Unfinished,0,,2023-10-29 23:00:47
a6e4d504-7473-4a02-a780-d4bbf929147f,b21366829,Underway,Finish,Unfinished,0,,2023-11-23 14:11:50
505763d9-64bd-4d65-92a7-6f9ae82235d4,b85582768,Complete,Finish,Finish,4,,2023-03-29 12:37:02
10151bda-b36f-4fca-9d14-2b804497e805,b36101894,Underway,Unfinished,Unfinished,0,,2023-10-02 04:19:38
e45634a0-7025-4b08-8f3e-d5c53bdaa02a,b68174155,Underway,Finish,Unfinished,0,,2023-08-07 21:55:11
ca6ffe81-e2d2-4790-aca4-cac58120d0e8,b14570699,Underway,Unfinished,Unfinished,0,,2023-05-30 19:48:06
699dc14c-edc9-46f0-bd89-bfd40f0b30d0,b82982114,Cancel,Unfinished,Unfinished,0,,2023-10-29 23:00:47
db8a84c2-cb7b-440b-8952-5d598c990375,b52692137,Underway,Unfinished,Unfinished,0,,2023-10-29 23:00:47
b5cdf8c6-624f-46b2-be80-e1b26143ac7b,b28683134,Underway,Unfinished,Finish,0,,2023-02-02 09:10:06
5bbfc118-09bb-4842-affd-c615549161e1,b83420220,Underway,Finish,Unfinished,0,,2023-12-02 18:50:37
bc05ba3c-935a-46d6-969f-68d86c40e000,b89955315,Underway,Finish,Unfinished,0,,2023-06-24 11:48:46
394789d7-2207-473f-9821-1f44f5282201,b58878989,Underway,Finish,Unfinished,0,,2023-03-29 12:37:02
404b052d-ccf6-48b9-b030-9ad4a9e40b11,b88409458,Complete,Finish,Finish,4,poor quality,2023-10-07 19:16:34
8bbacd0a-dffb-4cc1-812a-8aa7a52ba173,b29980076,Cancel,Unfinished,Finish,0,,2023-07-16 13:00:53
053214f0-3e8c-487e-9c44-605ad1502161,b49117635,Underway,Unfinished,Finish,0,,2023-07-17 19:57:27
b1ae95f5-7695-473a-910d-701089ad83d4,b28683134,Underway,Finish,Unfinished,0,,2023-09-08 11:48:19
e8a04645-8ab1-4bbc-a8ee-a490f4ac4fdb,b12395348,Complete,Finish,Finish,2,,2023-06-12 20:26:11
fc9e8b12-32a7-48a5-9622-841c3b86c917,b83420220,Complete,Finish,Finish,4,no major issues,2023-10-20 07:55:27
8778b39f-62ba-4efb-94f2-14af3d070f55,b88409458,Underway,Unfinished,Finish,0,,2023-09-08 18:43:15
7898ba4c-ba47-40b0-ace1-107c942af6ea,b81402685,Complete,Finish,Finish,2,"Affordable prices, great value for money.",2023-12-02 18:50:37
b629e70d-fe3b-42e9-a3bc-1f5bb3b5db24,b44469263,Complete,Finish,Finish,1,Confirmation takes too long,2023-05-21 11:37:14
09fbcf34-b6a4-4e9b-831b-1b77bb85bef2,b58878989,Underway,Finish,Unfinished,0,,2023-05-07 06:06:53
e1b2c79d-b911-418f-b59c-a1172b0048ca,b02658750,Underway,Unfinished,Unfinished,0,,2023-09-19 09:25:34
54503318-c6ba-460d-90e7-44b8ba906641,b84865982,Underway,Finish,Unfinished,0,,2023-04-11 07:52:12
8a102ffb-53f5-454e-8a7d-8b2f0d64367b,b93798134,Underway,Finish,Unfinished,0,,2023-10-11 11:50:00
879e388c-e4b5-40ff-bb62-8903d03b79e0,b63367190,Complete,Finish,Finish,3,functional,2023-07-31 15:41:45
349c2b52-534c-4861-b068-59c2934a5178,b30709021,Underway,Unfinished,Unfinished,0,,2023-03-06 18:37:03
32bfbc60-0704-4d73-b707-e9101457aaed,b68209806,Underway,Unfinished,Finish,0,,2023-07-21 14:32:22
fe458ff3-1fa2-49de-ad9b-ed9fbab3c1d7,b46585960,Complete,Finish,Finish,4,Prices are reasonable,2023-07-17 19:57:27
862cd81a-9634-4699-a010-d4dc2b3d4d53,b51771095,Cancel,Unfinished,Unfinished,0,,2023-12-08 15:31:30
0eabfd2f-ed64-4dc3-8109-22889a36a269,b25478137,Underway,Unfinished,Finish,0,,2023-11-17 07:42:21
758a5e3f-fad3-4a75-a985-f4f9344bd321,b74407264,Underway,Unfinished,Finish,0,,2023-03-31 08:23:44
d0c14334-a859-4bd1-af7a-968902fa3cf2,b91296701,Cancel,Unfinished,Unfinished,0,,2023-01-12 06:06:26
4285d025-3835-42ee-9718-b8825a6d18d2,b12395348,Underway,Unfinished,Finish,0,,2023-01-31 14:12:16
f989a0f3-b80c-4243-a913-f4ebe5f7c8af,b12395348,Underway,Finish,Unfinished,0,,2023-06-24 11:48:46
8ecce812-791c-4a10-a575-e20a9ba337d5,b38479107,Cancel,Unfinished,Unfinished,0,,2023-02-18 10:18:09
59b6e5dc-2fdc-4e6c-ac13-faddd07d9f35,b74407264,Underway,Unfinished,Finish,0,,2023-03-29 12:37:02
14e04528-ff10-46f3-aa12-17242ca1a136,b68312213,Underway,Finish,Unfinished,0,,2023-01-15 16:50:33
49cb54af-e6e2-4ebc-8bec-e4f73b446b46,b14112506,Underway,Unfinished,Unfinished,0,,2023-12-08 15:31:30
29bed7d8-5aee-4e36-8afa-f28668631340,b82664252,Underway,Unfinished,Finish,0,,2023-11-23 14:11:50
a153f942-c4d0-492d-84ec-402d2a1037d2,b83420220,Cancel,Unfinished,Unfinished,0,,2023-11-04 08:40:44
b0f5d98a-8c63-4275-80eb-dbbc51676c07,b09294091,Cancel,Unfinished,Unfinished,0,,2023-07-08 03:03:36
72de88ef-ee10-4c4b-9242-8770eee00b75,b83594721,Underway,Finish,Unfinished,0,,2023-12-02 18:50:37
e6ee12ba-561e-41fe-9c8b-a3535363f791,b13777390,Cancel,Unfinished,Finish,0,,2023-01-17 20:50:46
c7b6716d-e08d-4b9c-941a-a6c9bd17f52c,b68209806,Underway,Unfinished,Finish,0,,2023-11-17 11:29:18
21b94278-99da-4edd-ba21-81b5501e26ee,b03545242,Complete,Finish,Finish,4,,2023-02-02 09:10:06
f9c69a39-c3d7-4860-b414-5068b2b8f2a3,b69410286,Underway,Unfinished,Unfinished,0,,2023-06-06 00:35:15
a6595532-335b-470a-a3f5-4eb5072ebe74,b77444031,Underway,Finish,Unfinished,0,,2023-09-14 04:32:30
95417f0d-8d1b-4088-9c80-f2eeb84f2118,b06256649,Complete,Finish,Finish,1,,2023-10-05 18:41:53
39b90e6d-fee4-42be-ac58-848e6c93b45c,b27119713,Underway,Unfinished,Finish,0,,2023-09-08 11:48:19
9ae16eed-28ee-4769-a358-5adc04dc85ac,b36101894,Underway,Unfinished,Unfinished,0,,2023-09-05 04:15:57
422756b0-c015-45ec-9091-33d2af8a2c3a,b68174155,Underway,Unfinished,Finish,0,,2023-08-07 22:09:10
b99cffa5-f165-4777-95d7-46763ae2ec94,b68174155,Underway,Unfinished,Unfinished,0,,2023-10-07 19:16:34
298c9643-d69f-41b3-9ff9-20fd4b80483e,b72176783,Cancel,Finish,Unfinished,0,,2023-05-21 11:37:14
dd6baca4-f748-4253-a572-37b0cbe62a80,b68312213,Underway,Unfinished,Finish,0,,2023-12-15 08:57:03
2ba50af8-18af-48e3-806b-bac3f382c281,b09294091,Underway,Unfinished,Finish,0,,2023-07-14 11:14:42
81d9900b-46ae-4395-8902-cc6c3f296f84,b32943596,Underway,Unfinished,Finish,0,,2023-05-21 11:37:14
17b00cf4-3f28-494a-a3ba-cfc12ad756a5,b18980962,Complete,Finish,Finish,1,"Affordable prices, great value for money",2023-10-20 07:55:27
841cacfe-22d7-4ad2-ba8f-9ce84c749d05,b43401366,Cancel,Unfinished,Finish,0,,2023-06-13 15:22:25
2ae9c113-74ce-4b17-a2cb-7f0b702a74f2,b58174839,Cancel,Unfinished,Unfinished,0,,2023-07-31 15:41:45
2e9c4523-2b11-4614-8172-3a1bd77e5e05,b02716888,Cancel,Unfinished,Unfinished,0,,2023-10-02 23:03:22
2ac2242c-8c86-4966-be19-104d6be60e58,b61791828,Underway,Unfinished,Finish,0,,2023-12-02 18:50:37
2d7bd752-3be2-4b14-94c3-3179f2719439,b88118911,Complete,Finish,Finish,4,The website is user-friendly and easy to navigate.,2023-07-31 15:41:45
20a90cd2-5836-488d-ac1f-926be68d994f,b52692137,Underway,Finish,Unfinished,0,,2023-03-06 18:37:03
6ea3aa30-b2a2-414d-8f81-9c911d916149,b03545242,Complete,Finish,Finish,4,nothing particularly impressive,2023-02-12 14:30:04
58355350-f9f8-4b6d-9906-27324838d9ad,b51771095,Complete,Finish,Finish,2,,2023-06-12 20:26:11
d9917259-0a63-49ab-a91c-f6f6a214f751,b12997834,Cancel,Unfinished,Finish,0,,2023-01-17 20:50:46
9e963e18-8465-49fc-8d4f-5d35c4eab317,b65923036,Underway,Unfinished,Unfinished,0,,2023-02-12 21:42:46
32528f22-d1fd-48fa-9c32-6960bbfe1d53,b90166470,Underway,Unfinished,Unfinished,0,,2023-10-29 23:00:47
48bed919-8561-44f5-ad67-8bf2dc929481,b16967217,Underway,Finish,Unfinished,0,,2023-07-17 19:57:27
b127a915-36e2-4c92-86ca-74f4bcf0287a,b06256649,Cancel,Unfinished,Finish,0,,2023-09-19 09:25:34
d7a69123-097e-4a02-bd86-f85dc4964cce,b66473901,Cancel,Unfinished,Finish,0,,2023-06-24 11:48:46
454391d5-b231-4acb-9af9-c26dbf6a6b61,b88118911,Underway,Unfinished,Finish,0,,2023-07-31 09:11:15
bd3a835e-3b04-42aa-8cfd-132a68be519e,b27119713,Complete,Finish,Finish,2,,2023-06-06 00:35:15
d328b37a-9c7e-4dc6-973f-1513783b9e8d,b89766969,Cancel,Unfinished,Unfinished,0,,2023-10-11 11:50:00
13f5e254-da95-4465-9a8e-02181f537672,b12997834,Cancel,Unfinished,Unfinished,0,,2023-03-17 01:49:30
621b660c-dc7c-4a30-bc27-a657f38c18ad,b12395348,Complete,Finish,Finish,3,selecting the wrong product,2023-09-22 19:37:13
85696177-fe91-4700-b3d3-7459f1a49da6,b46349333,Underway,Unfinished,Finish,0,,2023-09-14 04:32:30
40783455-9b99-4daf-bff6-bd871c6ea6ac,b62256597,Complete,Finish,Finish,1,,2023-01-23 15:47:34
2f3a43b2-7770-4d92-8b2e-25d1f4754fe3,b28683134,Underway,Unfinished,Finish,0,,2023-07-21 14:32:22
942b5660-2cae-436b-9c89-4de77a9b8b29,b58174839,Complete,Finish,Finish,4,,2023-05-07 04:55:24
7f856861-e004-4a4a-ad93-db80a9312588,b94795771,Underway,Unfinished,Finish,0,,2023-09-05 04:15:57
20e9108f-041a-416d-aeaf-6111edada3dd,b18980962,Complete,Finish,Finish,4,,2023-01-15 16:50:33
f3c54a3e-9c56-43ab-8507-8eec245406ed,b94795771,Cancel,Unfinished,Unfinished,0,,2023-10-20 07:55:27
bf2f72a1-a922-488b-bff0-386e5f8ec5b6,b89766969,Underway,Unfinished,Finish,0,,2023-03-08 21:42:40
4a7d95c5-8255-45f6-a514-ea1dc83bc10c,b85582768,Cancel,Unfinished,Finish,0,,2023-10-02 04:19:38
f755bcf5-d02a-4011-a100-511d1c473ee5,b12395348,Cancel,Finish,Unfinished,0,,2023-05-30 19:48:06
93b43000-ebcd-4a26-9d4f-9ca080d9b935,b51771095,Underway,Finish,Unfinished,0,,2023-07-31 22:29:41
a56986d7-51f0-4980-9c16-374dbbfb73af,b83594721,Cancel,Finish,Unfinished,0,,2023-09-08 11:48:19
fecf24dc-568d-4d7c-82bb-56459f11f903,b14180145,Underway,Unfinished,Unfinished,0,,2023-02-20 13:53:13
864d80be-7a77-4f87-9736-901f8c83e181,b87248408,Underway,Unfinished,Finish,0,,2023-07-31 22:29:41
bfacbcf6-4f00-4577-9e77-540906f896f6,b25478137,Underway,Unfinished,Finish,0,,2023-11-04 08:40:44
2e099eda-f193-4952-abee-91bd0fb1d13a,b79904053,Complete,Finish,Finish,2,selecting the wrong product,2023-06-30 03:06:22
05a38e6c-3c25-4747-ab85-d3187fcb4eec,b02658750,Underway,Finish,Unfinished,0,,2023-06-09 04:35:16
2c5e4799-6b12-4e72-b9e8-3c2c4c6e8113,b53292923,Cancel,Unfinished,Finish,0,,2023-02-25 03:56:51
2223f7e1-0b92-41c8-89dd-7c98471c6aff,b93798134,Underway,Unfinished,Unfinished,0,,2023-11-28 23:37:52
7346cb9d-742e-4a00-bb32-64f19672990d,b07167467,Cancel,Finish,Unfinished,0,,2023-11-30 07:01:12
0f646ec7-507a-4de9-a2eb-b098d3c2f130,b69410286,Underway,Unfinished,Unfinished,0,,2023-10-02 23:03:22
2f0a20e8-258a-478f-8330-b09ec3d09b17,b85582768,Cancel,Finish,Unfinished,0,,2023-06-24 11:48:46
33967f1b-59e2-480a-a796-9cf81fb75708,b87248408,Underway,Unfinished,Finish,0,,2023-07-31 09:11:15
a2c26298-b9cf-4737-b86f-c23fd7a543cf,b90166470,Underway,Unfinished,Finish,0,,2023-02-12 14:30:04
f60950d7-10ca-42a4-8dd4-608b7377653a,b52692137,Underway,Unfinished,Finish,0,,2023-07-08 07:15:16
0951310e-d90e-4ed1-a433-755cce08716f,b56700729,Cancel,Finish,Unfinished,0,,2023-11-23 14:11:50
3d1a4cbe-8b5d-4014-a7aa-2d52fbd3275f,b83420220,Underway,Unfinished,Unfinished,0,,2023-01-09 11:54:15
30e79376-f098-4ca3-a691-acab22a01b45,b12997834,Underway,Finish,Unfinished,0,,2023-02-25 03:56:51
b9bb6db0-0d19-46cf-bcf7-e3d7a6849190,b10673081,Underway,Unfinished,Unfinished,0,,2023-03-06 18:37:03
06bb90ce-e49a-4200-8226-9caaccfa3c3f,b70119270,Underway,Unfinished,Unfinished,0,,2023-08-07 22:09:10
37ad9fcf-1f44-477a-9bd7-2a647fc44835,b03545242,Underway,Unfinished,Unfinished,0,,2023-05-21 11:37:14
